,id,title,extract
14,1060,Domestication,"La domestication d'une espèce, animale ou végétale, est l'acquisition, la perte ou le développement de caractères morphologiques, physiologiques ou comportementaux nouveaux et héréditaires, résultant d’une interaction prolongée, d'un contrôle voire d'une sélection délibérée de la part des communautés humaines. Elle se traduit par une modification plus ou moins profonde du patrimoine génétique de l'espèce, voire la formation d'une espèce génétiquement disjointe (non interféconde avec l'espèce originelle).
Les modifications vont de l’isolement de populations (simple isolat de génotypes sauvages reproduits) au changement du génome et jusqu’à la création d’espèces nouvelles. On parle d'espèces domestiquées, de plantes ou d'animaux domestiqués.
La domestication est une activité humaine très ancienne, elle précède la sédentarisation et l’agriculture (domestication du chien ou du figuier par les chasseurs paléolithiques). Le terme « domestication » est utilisé par extension aux techniques et aux objets mis au service des besoins humains (domestication d'un fleuve, d'une énergie, etc.). Chez l'animal « domestiquer » s'utilise comme synonyme d'apprivoiser.
La notion de besoin humain s'entend extensivement à toutes les activités humaines, utilitaires ou culturelles, et la domestication porte sur toutes les classes du vivant. Son étude relève de sciences multiples, sachant que la génétique permet depuis le XXIe siècle de mieux connaitre ses étapes et ses processus.
On parle aussi de domestication pour des choses, telles la domestication de paysages, pour exprimer les modifications que les humains leur apportent pour qu'elles correspondent à leurs conceptions morales et philosophiques."
15,1105,Fortran,"Fortran (FORmula TRANslator) est un langage de programmation utilisé principalement pour le calcul scientifique. Inventé en 1954, c'est le plus ancien langage de programmation de haut niveau, suivi notamment par Lisp (1958), Algol (1958) et COBOL (1959). Le nombre de bibliothèques scientifiques écrites en Fortran et les efforts continus consacrés aux compilateurs pour exploiter au fil des décennies les nouvelles possibilités des calculateurs (vectorisation, coprocesseurs, parallélisme) ont maintenu l'usage de ce langage, non sans d'importantes évolutions."
16,1120,François Bayrou,"François Bayrou (prononcé : [fʁɑ̃swa bajʁu]), né le 25 mai 1951 à Bordères (Basses-Pyrénées), est un essayiste et homme politique français.
Ministre de l'Éducation nationale sous trois gouvernements de droite de 1993 à 1997, il est également député des Pyrénées-Atlantiques entre 1986 et 2012, président du conseil général des Pyrénées-Atlantiques de 1992 à 2001, député européen de 1999 à 2002 et maire de Pau depuis 2014.
Parallèlement, il préside plusieurs partis : le Centre des démocrates sociaux (CDS), Force démocrate (FD), l'Union pour la démocratie française (UDF) et le Mouvement démocrate (MoDem).
Candidat à l'élection présidentielle de 2002, il obtient 6,84 % des voix, se classant quatrième du premier tour. En 2007, il finit en troisième position avec 18,57 % des suffrages, et fonde peu après le MoDem, qui se veut au centre de l'échiquier politique, alors que l'UDF était traditionnellement classée au centre droit. Lors de l'élection présidentielle de 2012, il recueille 9,13 % des suffrages, terminant en cinquième position.
Ne se présentant pas à l'élection présidentielle de 2017, il soutient la candidature d'Emmanuel Macron, qui l'emporte et le nomme ministre d'État, garde des Sceaux, ministre de la Justice au sein du gouvernement Édouard Philippe. Un mois plus tard, cité implicitement dans l'affaire des assistants parlementaires du MoDem au Parlement européen, il renonce à intégrer le second gouvernement Édouard Philippe."
17,1262,Graham Greene,"Henry Graham Greene, né le 2 octobre 1904 à Berkhamsted, dans le comté de Hertfordshire, en Angleterre, et mort le 3 avril 1991 à Vevey, dans le canton de Vaud, en Suisse, est un écrivain et scénariste britannique. Il a écrit des romans, des nouvelles, des récits de voyages, des essais et des critiques dans lesquels il explore l'ambivalence morale et politique du monde moderne et s'interroge sur le catholicisme.
Il est médaillé de l'Ordre du Mérite, de l'Ordre des compagnons d'honneur, et membre de la Royal Society of Literature."
18,1526,Infogrames Entertainment,"Infogrames Entertainment SA (ou Infogrames, ou IESA) était une société française de développement, d'édition et de distribution de jeux vidéo, fondée en 1983 par Bruno Bonnell et Christophe Sapet. Infogrames Entertainment SA est devenue Atari SA."
19,1917,Maurice Leblanc,"Marie Émile Maurice Leblanc est un écrivain français né le 11 décembre 1864, à Rouen, et mort le 6 novembre 1941, à Perpignan. Auteur de nombreux romans policiers et d’aventures, il est le créateur du célèbre personnage d’Arsène Lupin, le gentleman-cambrioleur. Relégué au rang de « Conan Doyle français », Maurice Leblanc est un écrivain populaire qui a souffert de ne pas avoir la reconnaissance de ses confrères mais a toujours suscité un solide noyau d'amateurs et de quelques lupinologues.
On peut visiter la maison de Maurice Leblanc, le Clos Lupin, à Étretat, en Seine-Maritime. L’aiguille d’Étretat forme d’ailleurs l’un des décors du roman L'Aiguille creuse. La revue d'études lupiniennes L'Aiguille preuve est éditée annuellement par l'Association des Amis d'Arsène Lupin (AAAL) fondée en 1985 par le philosophe et essayiste François George."
20,2003,Maurice Merleau-Ponty,"Maurice Merleau-Ponty est un philosophe français, né à Rochefort-sur-Mer le 14 mars 1908 et mort le 3 mai 1961 à Paris. Il est le cousin du philosophe des sciences Jacques Merleau-Ponty."
21,2077,Morcheeba,"Morcheeba est un groupe de musique britannique originaire de Londres, mélangeant downtempo, trip hop, rhythm and blues et pop. Il est formé des frères Paul Godfrey (DJ) et Ross Godfrey (guitare et clavier) ainsi que de la chanteuse Skye Edwards. Skye Edwards a quitté le groupe en 2003, en raison de divergences musicales, selon les membres du groupe. Elle a été remplacée en 2005, pour l'album The Antidote par la chanteuse Daisy Martey. Daisy Martey a quitté le groupe en juin 2005 et a été remplacée par la choriste/saxophoniste australienne Jody Sternberg. En 2008, pour la sortie de l'album Dive Deep, c'est la chanteuse française Amanda Zamolo, découverte via MySpace, qui est la chanteuse principale. Skye fait son retour dans la formation en 2010 pour le septième album Blood Like Lemonade."
22,2310,Prix Hugo,"Le prix Hugo (Hugo Award, officiellement intitulé Science Fiction Achievement Award jusqu'en 1992) est un prix littéraire américain créé en 1953 et décerné chaque année aux meilleures œuvres de science-fiction et de fantasy de l'année écoulée. Le nombre de catégories récompensées a évolué au fil du temps, à mesure que la science-fiction et la fantasy se sont étendues à de nouveaux médias tels que le cinéma et la télévision. Les lauréats sont élus par un collège de fans membres de la World Science Fiction Society et reçoivent leur trophée en forme de fusée lors de la World Science Fiction Convention (Worldcon) annuelle. Le nom du prix rend hommage à Hugo Gernsback, fondateur d'un des premiers magazines de science-fiction américains, Amazing Stories.
Le prix Hugo est considéré comme l'une des récompenses les plus prestigieuses pour la science-fiction et la fantasy. Si la compétition est ouverte aux œuvres du monde entier, ce sont cependant presque toujours des œuvres de langue anglaise sorties aux États-Unis qui sont récompensées.
En plus des prix Hugo, des prix Retro Hugos sont remis rétrospectivement lors d'une convention se tenant 50, 75 ou 100 ans après une convention n'ayant pas décerné de prix Hugo. Le prix Astounding du meilleur nouvel écrivain (appelé prix John-Wood-Campbell du meilleur nouvel écrivain jusqu'en 2019) est remis lors de la cérémonie des prix Hugo même s'il n'en est pas officiellement un."
23,2327,Démographie du Japon,"Le Japon comptait 126 330 302 d'habitants en 2018 avec un des taux de natalité les plus bas du monde.
Durant l'année 2016 l'archipel a perdu environ 300 000 habitants. Cette baisse de la population a atteint un niveau record depuis l'existence en 1968 des statistiques. C'est la sixième année consécutive que le pays voit sa population baisser. Mais la population va encore baisser de près de 300 000 habitants en 2017, cette chute s'accélérant à l'avenir pour faire tomber la population à moins de 85 millions en 2050. En effet, près de 35 % de la population aura plus de 60 ans fin 2018, soit plus de 90 ans fin 2048.
Certes, l'espérance de vie y est la plus élevée au monde puisqu'elle était estimée en 2008 à 85,59 ans pour les femmes et à 78,73 ans pour les hommes mais les naissances y sont très faibles et en baisse."
24,2369,Post Office Protocol,"En informatique, le POP (Post Office Protocol, littéralement « protocole de bureau de poste »), est un protocole qui permet de récupérer les courriers électroniques situés sur un serveur de messagerie électronique. En dehors d'un paramétrage spécifique, POP se connecte au serveur de messagerie, s'authentifie, récupère le courrier, « peut » effacer le courrier sur le serveur, et se déconnecte.
Ce protocole a été réalisé en plusieurs versions; respectivement POP1, POP2 et actuellement POP3.
Cette opération transite sur un réseau TCP/IP et utilise le protocole de transfert TCP via le port 110. Ce protocole est défini par la RFC 1939.
POP3S (POP3 over SSL) – ou POPS –) permet de chiffrer la communication avec le serveur au moyen de TLS. Ce protocole est défini par la RFC 2595. Selon cette dernière, l'usage d'un port spécifique pour ces communications chiffrées (initialement TCP 995 avec le chiffrement SSL) est maintenant déconseillé.
L'opération inverse, c'est-à-dire la remise de courrier à un serveur afin qu'il soit distribué, s'effectue généralement avec un autre protocole: SMTP."
25,2566,Radiographie,"La radiographie est une technique d'imagerie de transmission, par rayons X dans le cadre de la radiographie X, ou par rayons gamma en gammagraphie. 
Les rayons X sont des ondes électromagnétiques de hautes fréquences de l'ordre de 1016 Hz à 1020 Hz et qui pénètrent la matière condensée (solides et liquides). Elle permet d'obtenir un cliché dont le contraste dépend à la fois de l'épaisseur et du coefficient d'atténuation des structures traversées.
Par extension, l'image obtenue et son support portent aussi le nom de « radiographie ». L'abréviation du terme radiographie est fréquemment employée, on parle alors de « radio ».
La radiographie est utilisée en radiologie médicale, en radiologie industrielle et en radiothérapie. La radiographie standard correspond à la radiographie d'une région d'intérêt dont la réalisation obéit à un protocole reconnu de manière internationale,.
La radiographie s'oppose à l'autoradiographie qui est une technique d'imagerie d'émission. 
Les radiographies argentiques se lisent idéalement sur un négatoscope."
26,2768,Système électoral,"Le système électoral, mode de scrutin, système de vote ou régime électoral, désigne tout type de processus permettant l'expression du choix d'un corps électoral donné, souvent la désignation d'élus pour exercer un mandat en tant que représentants de ce corps (élection), ou moins souvent le choix direct (référendum) d'une option parmi plusieurs.
Dans le cadre d'élections, les systèmes électoraux sont soit des scrutins utilisant la règle de la majorité, dits scrutins majoritaires, soit des systèmes cherchant à représenter plus ou moins fidèlement le vote des électeurs via le principe de la représentation proportionnelle, soit des systèmes mixtes alliant ces deux types de système. Différents modes de scrutin peuvent donner des résultats très différents, en particulier dans les cas où il n'y a pas de préférence clairement majoritaire en faveur d’une seule et même option. À ce jour, plusieurs systèmes sont en vigueur ou proposés.
Un système électoral est une méthode de transformation des suffrages en élus qui n'est pas sans influence sur la façon de « faire de la politique » par les parties en présence, les systèmes d'alliances, l'organisation des campagnes électorales, ou le résultat. « Il constitue aussi un facteur important d'orientation positive du vote populaire, puisque sa logique et sa dynamique [...] influencent de façon souvent déterminante le choix de l'électeur ». L'importance que revêt cet aspect du vote dans un système politique justifie que de nombreux théoriciens se soient penchés sur les modes de scrutin, leurs effets et leur fonctionnement. Leur étude, qualifiée de théorie du vote dans le jargon anglophone, est une discipline du droit constitutionnel qui entre en relation avec la science politique et les mathématiques.
Des aspects indépendants du fonctionnement des modes de scrutin mais entrant fatalement en relation avec lui, tels la procédure électorale (décompte, scrutin, etc.), le corps électoral, l'éligibilité et le poids attribué à chaque vote sont traités par ailleurs."
27,2898,Musique soul,"La musique soul, ou simplement soul, est une musique populaire afro-américaine ayant émergé à la fin des années 1950 aux États-Unis, dérivée, entre autres, du gospel et du rhythm and blues. Elle est considérée par certains comme un retour du rhythm and blues aux racines dont il est issu : le gospel (musique d’église)."
28,3011,Tricky,"Tricky [tɹɪki] , de son vrai nom Adrian Nicholas Matthews Thaws, est un musicien britannique, né le 27 janvier 1968. Il est considéré comme un des piliers du trip hop, mouvement musical des années 1990 et il mélange notamment rock, hip-hop, musique électronique et musique soul. Son premier album, Maxinquaye, a été nommé pour le Mercury Prize et fut élu album de l’année par la revue musicale NME. Il fut membre de Massive Attack mais il quitte le groupe en 1994 après la sortie de l'album Protection."
29,3091,Planeur ultra-léger motorisé,"Un planeur ultra-léger motorisé, plus couramment appelé ULM, est un aéronef muni d'un moteur, répondant à des critères de masse ou de puissance maximales définis par les juridictions nationales et autorisant son utilisation dans des conditions de navigabilité simplifiées par rapport à celles d'un avion léger et avec une licence de pilotage spécifique. La plupart des ULM peuvent décoller et atterrir sur des distances réduites hors des aérodromes, mais les plus performants s'apparentent aux avions légers certifiés."
30,3176,Wasabi,"Le wasabi (山葵) (traduction littérale : « rose trémière des montagnes ») ou Eutrema japonicum est une espèce de plantes de la famille des Brassicacées, du genre Eutrema (ou Wasabia, du wasabi (山葵属) que l'on trouve en Asie. Cette espèce est originaire du Japon, très proche du raifort et sa tige est utilisée sous forme de pâte comme condiment dans la cuisine japonaise. Les autres variétés d’Eutrema japonicum, les plus répandues sur le marché, sont E. japonicum (daruma, 达磨) et E. japonicum (mazuma, 真妻). Par extension, le terme wasabi désigne en français aussi bien la plante que le condiment."
31,3321,XXIe siècle,"Le XXIe siècle (ou 21e siècle) a commencé le 1er janvier 2001 et se finira le 31 décembre 2100.
Il s'étend entre les jours juliens 2 451 910,5 à 2 488 434,5,."
32,3410,1968,1968 est une année bissextile commençant un lundi.
33,3427,1986,1986 est une année commune commençant un mercredi.
34,3435,1978,1978 est une année commune commençant un dimanche.
35,3449,1949,1949 est une année commune commençant un samedi.
36,3483,1789,Cette page concerne l'année 1789 du calendrier grégorien.
37,3519,1917,1917 est une année commune commençant un lundi.
38,3529,1935,1935 est une année commune commençant un mardi.
39,3550,18 août,"Le 18 août ou 18 aout est le 230e jour de l’année du calendrier grégorien, le 231e en cas d’année bissextile. Il reste 135 jours avant la fin de l’année.
C’était généralement le 1er jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de la prune.

17 août - 18 août - 19 août"
40,3565,21 août,"Le 21 août ou 21 aout est le 233e jour de l'année du calendrier grégorien, le 234e en cas d'année bissextile. Il reste 132 jours avant la fin de l'année.
C'était généralement le 4e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de l'escourgeon.

20 août - 21 août - 22 août"
41,3597,1er janvier,"Le 1er janvier est le premier jour de l'année du calendrier grégorien. Il reste 364 jours avant la fin de l'année, 365 dans le cas d'une année bissextile. 
C'était généralement le 12e jour du mois de nivôse dans le calendrier républicain français, officiellement dénommé jour de l'argile.
Le premier janvier ou Nouvel An ou Jour de l'an est férié dans de nombreux pays.

 31 décembre - 1er janvier - 2 janvier"
42,3605,1er septembre,"Le 1er septembre est le 244e jour de l'année du calendrier grégorien, le 245e en cas d'année bissextile. Il reste 121 jours avant la fin de l'année.
C'était généralement le 15e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé  jour de la truite.

31 août - 1er septembre - 2 septembre"
43,3617,2 septembre,"Le 2 septembre est le 245e jour de l'année du calendrier grégorien, le 246e en cas d'année bissextile. Il reste 120 jours avant la fin de l'année.
C'était généralement le 16e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour du citron.

1er septembre - 2 septembre - 3 septembre"
44,3682,13 janvier,"Le 13 janvier est le 13e jour de l'année du calendrier grégorien. Il reste 352 jours avant la fin de l'année, 353 en cas d'année bissextile.
C'était généralement le 24e jour du mois de nivôse dans le calendrier républicain français, officiellement dénommé jour du cuivre.

 12 janvier - 13 janvier - 14 janvier"
45,3825,17 juin,"Le 17 juin est le 168e jour de l'année du calendrier grégorien, le 169e en cas d'année bissextile. Il reste 197 jours avant la fin de l'année.
C'était généralement le 29e jour du mois de prairial dans le calendrier républicain français, officiellement dénommé jour de la pivoine.

16 juin - 17 juin - 18 juin"
46,3827,17 août,"Le 17 août ou 17 aout est le 229e jour de l'année du calendrier grégorien, le 230e en cas d'année bissextile. Il reste 136 jours avant la fin de l'année.
C'était généralement le 30e et dernier jour du mois de thermidor dans le calendrier républicain français, officiellement dénommé jour du moulin.

16 août - 17 août - 18 août"
47,3835,19 juin,"Le 19 juin est le 170e jour de l'année du calendrier grégorien, le 171e en cas d'année bissextile. Il reste 195 jours avant la fin de l'année.
C'était généralement le 1er jour du mois de messidor dans le calendrier républicain français, officiellement dénommé jour du seigle.
Date possible mais exceptionnelle pour le solstice d'été dans l'hémisphère nord ; c'est alors le début de l'été dans cet hémisphère.

18 juin - 19 juin - 20 juin"
48,3837,19 août,"Le 19 août ou 19 aout est le 231e jour de l’année du calendrier grégorien, le 232e en cas d’année bissextile. Il reste 134 jours avant la fin de l’année.
C’était généralement le 2e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour du millet.

18 août - 19 août - 20 août"
49,3845,20 août,"Le 20 août ou 20 aout est le 232e jour de l’année du calendrier grégorien, le 233e en cas d’année bissextile. Il reste 133 jours avant la fin de l’année.
C’était généralement le 3e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de la  vesse-de-loup.

19 août - 20 août - 21 août"
50,3853,22 août,"Le 22 août ou 22 aout est le 234e jour de l’année du calendrier grégorien, le 235e en cas d’année bissextile. Il reste 131 jours avant la fin de l’année.
C’était le 5e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour du saumon.

21 août - 22 août - 23 août"
51,3861,23 août,"Le 23 août ou 23 aout est le 235e jour de l’année du calendrier grégorien, le 236e en cas d’année bissextile. Il reste 130 jours avant la fin de l’année.
C'est la Journée internationale du souvenir de la traite négrière et de son abolition.
C’était le 6e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de la tubéreuse.

22 août - 23 août - 24 août"
52,3869,24 août,"Le 24 août ou 24 aout est le 236e jour de l’année du calendrier grégorien, le 237e en cas d’année bissextile. Il reste 129 jours avant la fin de l’année.
C’était généralement le 7e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour du sucrion.

23 août - 24 août - 25 août"
53,3877,25 août,"Le 25 août ou 25 aout est le 237e jour de l’année du calendrier grégorien, le 238e en cas d’année bissextile. Il reste 128 jours avant la fin de l’année.
C’était généralement le 8e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de l’apocyn.

24 août - 25 août - 26 août"
54,3893,27 août,"Le 27 août ou 27 aout est le 239e jour de l’année du calendrier grégorien, le 240e en cas d’année bissextile. Il reste 126 jours avant la fin de l’année. 
C’était généralement le 10e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de l’échelle. 

26 août - 27 août - 28 août"
55,3894,27 septembre,"Le 27 septembre est le 270e jour de l'année du calendrier grégorien, le 271e en cas d'année bissextile. Il reste 95 jours avant la fin de l'année.
C'était généralement le sixième jour du mois de vendémiaire dans le calendrier républicain français, officiellement dénommé jour de la balsamine.

26 septembre - 27 septembre - 28 septembre"
56,3901,28 août,"Le 28 août ou 28 aout est le 240e jour de l’année du calendrier grégorien, le 241e en cas d’année bissextile. Il reste 125 jours avant la fin de l’année.
C’était généralement le 11e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de la pastèque.

27 août - 28 août - 29 août"
57,3909,29 août,"Le 29 août ou 29 aout est le 241e jour de l'année du calendrier grégorien, le 242e en cas d'année bissextile. Il reste 124 jours avant la fin de l'année.
C'était généralement le 12e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour du fenouil.

28 août - 29 août - 30 août"
58,3917,30 août,"Le 30 août ou 30 aout est le 242e jour de l'année du calendrier grégorien, le 243e en cas d'année bissextile. Il reste 123 jours avant la fin de l'année.
C'était généralement le 13e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de l'épine vinette.

29 août - 30 août - 31 août"
59,3926,31 août,"Le 31 août ou 31 aout est le 243e jour de l'année du calendrier grégorien, le 244e en cas d'année bissextile. Il reste 122 jours avant la fin de l'année.
C'était généralement le 14e jour du mois de fructidor dans le calendrier républicain français, officiellement dénommé jour de la noix.

30 août - 31 août - 1er septembre"
60,3948,1893,
61,4113,26 août,"Le 26 août ou 26 aout est le 238e jour de l’année du calendrier grégorien, le 239e en cas d’année bissextile. Il reste 127 jours avant la fin de l’année.
C’était le 9e jour du mois de fructidor dans le calendrier républicain français, dénommé officiellement jour de la réglisse.

25 août - 26 août - 27 août"
62,4252,Internationale situationniste,"L’Internationale situationniste (IS) était une organisation révolutionnaire désireuse d'en finir avec le malheur historique, avec la société de classes et la dictature de la marchandise, se situant dans la filiation de différents courants apparus au début du XXe siècle, notamment de la pensée marxiste d'Anton Pannekoek et de Rosa Luxemburg, du communisme de conseils, ainsi que du groupe Socialisme ou barbarie (Claude Lefort, Cornelius Castoriadis notamment) dans les années 1950. En ce sens, elle pourrait être apparentée à un groupe d'ultra-gauche. Mais elle représentait à ses débuts l'expression d'une volonté de dépassement des tentatives révolutionnaires des avant-gardes artistiques de la première moitié du XXe siècle : le dadaïsme, le surréalisme et le lettrisme.
Formellement créée en juillet 1957 à la Conférence de Cosio di Arroscia, l'Internationale situationniste est née du rapprochement d'un ensemble international de mouvements d'avant-garde, dont l'Internationale lettriste (elle-même issue d'une rupture avec le Lettrisme d'Isidore Isou), le Mouvement international pour un Bauhaus imaginiste, le Comité psychogéographique de Londres et un groupe de peintres italiens. Son document fondateur, Rapport sur la construction de situations…, a été rédigé par Guy Debord en 1957. Dans ce texte programmatique, Debord pose l'exigence de « changer le monde » et envisage le dépassement de toutes les formes artistiques par « un emploi unitaire de tous les moyens de bouleversement de la vie quotidienne ».
L'un des principaux objectifs de l'Internationale situationniste était l'accomplissement des promesses contenues dans le développement de l'appareil de production contemporain et la libération des conditions historiques par une réappropriation du réel, et ce, dans tous les domaines de la vie. Le dépassement de l'art était son projet originel.
Au début, les Situationnistes ont fait parler d'eux pour leur utilisation du calembour comme arme politique, tournant en dérision l'art contemporain pour démontrer l'inanité et le superficiel d'une culture dite bourgeoise.
Puis l'IS s'est rapidement orientée vers une critique de la société du spectacle, ou société « spectaculaire-marchande », accompagnée d'un désir de révolution sociale. L'année 1962 voit la scission entre « artistes » et « révolutionnaires » et l'exclusion des premiers.
D'un point de vue organisationnel, l'IS conserve la position marxiste d'un parti théorique représentant le plus haut niveau de conscience révolutionnaire. La théorisation de cette position ne se fera qu'assez tardivement dans la Définition Minimum des Organisations révolutionnaires (IS no 11), adoptée par la 7e Conférence de l'IS en 1967, qui sera en France l'une des références du conseillisme d'après mai 1968, et en 1969 dans les Préliminaires sur les conseils et l'organisation conseilliste (IS no 12)."
63,4591,Échographie,"L'échographie est une technique d'imagerie employant des ultrasons. Elle est utilisée de manière courante en médecine humaine et vétérinaire, mais peut aussi être employée en recherche et dans l'industrie."
64,4600,Liste des communes du Morbihan,"Cette page liste les 250 communes du département français du Morbihan par ordre alphabétique, avec leur code Insee et leur code postal principal, ainsi que leur appartenance aux cantons, arrondissements, circonscriptions législative et structures intercommunales en 2019. Voir aussi les listes des cantons et des anciennes communes."
65,4877,Liste des communes du Gers,"Cette page recense les communes du département du Gers en France. Le Gers comprend 461 communes au 1er janvier 2019.
La graphie du nom en occitan (dialecte gascon) est celle de la carte des communes du Gers en gascon (graphie en norme classique occitane)."
